name,email,linkedin,password
Alex Morris,alex.morris@outlook.com,https://linkedin.com/in/alexmorris,H%Q/lAD07I;%
Casey Morris,casey.morris@yahoo.com,https://linkedin.com/in/caseymorris,"{""Eogyid+&n!"
Jordan Davis,jordan.davis@example.com,https://linkedin.com/in/jordandavis,Qgd#JJH^~}_S
Morgan Scott,morgan.scott@yahoo.com,https://linkedin.com/in/morganscott,&{yu[zIh1dod
Alex Morris,alex.morris@outlook.com,https://linkedin.com/in/alexmorris,"Y=AXV=G""<.NV"
Morgan Scott,morgan.scott@gmail.com,https://linkedin.com/in/morganscott,"066WxFFmV,W<"
Jordan Morris,jordan.morris@example.com,https://linkedin.com/in/jordanmorris,v|5/cJ-Vy)W0
Alex Scott,alex.scott@yahoo.com,https://linkedin.com/in/alexscott,c\8rWK;$WRv4
Casey Anderson,casey.anderson@yahoo.com,https://linkedin.com/in/caseyanderson,lN{_gMr/p`Wf
Jordan Morris,jordan.morris@yahoo.com,https://linkedin.com/in/jordanmorris,"=%s(,k!XsFh9"
